sector,display_name,page_id,page_name,active
banking,Bankovnictví / Finance,166024303411062,Raiffeisenbank,1
banking,Bankovnictví / Finance,90594467955,Česká spořitelna,1
banking,Bankovnictví / Finance,315972808450196,ČSOB,1
banking,Bankovnictví / Finance,361281313901258,Komerční banka,1
banking,Bankovnictví / Finance,116282735156025,Banka Creditas,1
banking,Bankovnictví / Finance,271913363503049,Trinity Bank,1
banking,Bankovnictví / Finance,108671021569346,Partners Banka,1
banking,Bankovnictví / Finance,120735779331225,Česká spořitelna Kariéra,1
banking,Bankovnictví / Finance,107686765982646,Česká spořitelna - penzijní společnost,1
banking,Bankovnictví / Finance,203001175509,Raiffeisen stavební spořitelna,1
insurance,Pojišťovnictví,971715719657405,PetExpert/ČSOB Pojišťovna,1
real_estate,Reality / Nemovitosti,109535345529497,Creditas Real Estate,1
banking,Bankovnictví / Finance,188676337835075,Air Bank,1
banking,Bankovnictví / Finance,138479367229,Moneta Money Bank,1
banking,Bankovnictví / Finance,107021016038575,Fio banka,1
banking,Bankovnictví / Finance,10883677459,mBank,1
banking,Bankovnictví / Finance,104333862287254,UniCredit Bank,1
ecommerce,E-commerce / Retail,70488720814,Alza.cz,1
ecommerce,E-commerce / Retail,101556655989,Notino CZ,1
ecommerce,E-commerce / Retail,1476873045888686,rohlik.cz,1
ecommerce,E-commerce / Retail,521044541333016,Košík.cz,1
ecommerce,E-commerce / Retail,118177448049194,Temu Czechia,1
ecommerce,E-commerce / Retail,116282456784,Allegro.cz,1
ecommerce,E-commerce / Retail,417246441639589,Lidl Česká republika,1
ecommerce,E-commerce / Retail,122037420752,PENNY Česká republika,1
ecommerce,E-commerce / Retail,133129068446,DATART CZ,1
ecommerce,E-commerce / Retail,244816482042,CZC.cz,1
ecommerce,E-commerce / Retail,18349420804,Heureka.cz,1
ecommerce,E-commerce / Retail,317398901621260,IKEA Česko,1
ecommerce,E-commerce / Retail,376809572404232,Kaufland Česká republika,1
telecom,Telekomunikace,120461304659141,O2 Czech Republic,1
telecom,Telekomunikace,286483085526,T-Mobile CZ,1
telecom,Telekomunikace,176688316811,Vodafone CZ,1
telecom,Telekomunikace,391145720998738,MOBIL.CZ,1
automotive,Automotive,336328666439257,Škoda Auto,1
automotive,Automotive,119063861466791,Hyundai CZ,1
automotive,Automotive,308878909205138,Toyota Česká republika,1
automotive,Automotive,107277669328435,Volkswagen Česká republika,1
automotive,Automotive,125214950828155,BMW Česká republika,1
automotive,Automotive,138144009548256,Mercedes-Benz CZ,1
automotive,Automotive,333677018188,Kia Czech,1
automotive,Automotive,116914458334869,Audi Czech Republic,1
automotive,Automotive,141398165876085,Renault,1
automotive,Automotive,690269304366316,Volkswagen Financial Services CZ,0
insurance,Pojišťovnictví,682448045139557,Allianz Česká republika,1
insurance,Pojišťovnictví,221119377898604,Kooperativa pojišťovna,1
insurance,Pojišťovnictví,678609582222825,ČSOB Pojišťovna,1
insurance,Pojišťovnictví,108196682034185,Colonnade Insurance CZ,1
insurance,Pojišťovnictví,112840467041210,UNIQA pojišťovna,1
insurance,Pojišťovnictví,490340660444,Generali Česká pojišťovna,1
energy,Energetika,312181048799130,ČEZ,1
energy,Energetika,356382154550156,E.ON Česká republika,1
energy,Energetika,389845981037451,innogy Česká republika,1
energy,Energetika,91085933146,Pražská energetika (PRE),1
qsr,Rychlé občerstvení (QSR),43473682279,McDonald's Czech Republic,1
qsr,Rychlé občerstvení (QSR),109295541644,KFC Czech Republic,1
qsr,Rychlé občerstvení (QSR),211772738846061,Burger King Czech Republic,1
qsr,Rychlé občerstvení (QSR),103358809697830,Starbucks Czech Republic,1
qsr,Rychlé občerstvení (QSR),153421068089548,Subway Česká republika,1
qsr,Rychlé občerstvení (QSR),1902805183378821,Pizza Hut Czech Republic,1
